AOKF1045_g2_c 	 0.415524 	 cell organization and biogenesis
Contig_26515 	 0.550701 	 other metabolic processes 
Contig_26515 	 0.550701 	 transport   
Contig_26516 	 0.936784 	 RNA metabolism  
Contig_26516 	 0.936784 	 cell cycle and proliferation
Contig_26516 	 0.936784 	 cell organization and biogenesis
Contig_26516 	 0.936784 	 cell-cell signaling  
Contig_26516 	 0.936784 	 developmental processes  
Contig_26516 	 0.936784 	 signal transduction  
Contig_26519 	 0.564546 	 developmental processes  
Contig_26522 	 0.412929 	 cell organization and biogenesis
Contig_26522 	 0.412929 	 other biological processes 
Contig_26522 	 0.412929 	 other metabolic processes 
Contig_26522 	 0.412929 	 transport   
Contig_26525 	 0.638 	 cell organization and biogenesis
Contig_26525 	 0.638 	 developmental processes  
Contig_26525 	 0.638 	 other biological processes 
Contig_26525 	 0.638 	 other metabolic processes 
Contig_26525 	 0.638 	 protein metabolism  
Contig_26525 	 0.638 	 signal transduction  
Contig_26531 	 0.521325 	 RNA metabolism  
Contig_26531 	 0.521325 	 other metabolic processes 
Contig_26531 	 0.521325 	 signal transduction  
Contig_26531 	 0.521325 	 stress response  
Contig_26535 	 0.61222 	 developmental processes  
Contig_26535 	 0.61222 	 other biological processes 
Contig_26537 	 0.720002 	 developmental processes  
Contig_26537 	 0.720002 	 other biological processes 
Contig_26538 	 0.854595 	 other metabolic processes 
Contig_26538 	 0.854595 	 protein metabolism  
Contig_26538 	 0.854595 	 signal transduction  
Contig_26547 	 0.508295 	 RNA metabolism  
Contig_26547 	 0.508295 	 cell organization and biogenesis
Contig_26547 	 0.508295 	 developmental processes  
Contig_26547 	 0.508295 	 other biological processes 
Contig_26547 	 0.508295 	 other metabolic processes 
Contig_26547 	 0.508295 	 transport   
Contig_26548 	 0.652979 	 RNA metabolism  
Contig_26549 	 0.514416 	 other biological processes 
Contig_26550 	 0.999393 	 cell-cell signaling  
Contig_26550 	 0.999393 	 signal transduction  
Contig_26550 	 0.999393 	 transport   
Contig_26551 	 0.968057 	 signal transduction  
Contig_26552 	 0.465767 	 RNA metabolism  
Contig_26552 	 0.465767 	 cell cycle and proliferation
Contig_26559 	 0.588313 	 other metabolic processes 
Contig_26562 	 0.520126 	 other metabolic processes 
Contig_26574 	 0.360919 	 developmental processes  
Contig_26574 	 0.360919 	 protein metabolism  
Contig_26574 	 0.360919 	 signal transduction  
Contig_26578 	 0.929674 	 other biological processes 
Contig_26580 	 0.552084 	 cell organization and biogenesis
Contig_26580 	 0.552084 	 other metabolic processes 
Contig_26580 	 0.552084 	 transport   
Contig_26584 	 0.345483 	 RNA metabolism  
Contig_2659 	 0.922914 	 other biological processes 
Contig_2659 	 0.922914 	 transport   
Contig_26592 	 0.496463 	 other biological processes 
Contig_26594 	 0.628994 	 DNA metabolism  
Contig_26594 	 0.628994 	 stress response  
Contig_26597 	 0.267566 	 other metabolic processes 
Contig_26608 	 0.843334 	 transport   
Contig_2661 	 0.452784 	 other biological processes 
Contig_2661 	 0.452784 	 signal transduction  
Contig_26613 	 0.486423 	 RNA metabolism  
Contig_26613 	 0.486423 	 cell cycle and proliferation
Contig_26613 	 0.486423 	 cell organization and biogenesis
Contig_26613 	 0.486423 	 cell-cell signaling  
Contig_26613 	 0.486423 	 death   
Contig_26613 	 0.486423 	 developmental processes  
Contig_26613 	 0.486423 	 other biological processes 
Contig_26613 	 0.486423 	 signal transduction  
Contig_26613 	 0.486423 	 stress response  
Contig_26615 	 0.854269 	 transport   
Contig_26616 	 0.497514 	 RNA metabolism  
Contig_26617 	 0.850739 	 other biological processes 
Contig_26617 	 0.850739 	 stress response  
Contig_2663 	 0.705886 	 protein metabolism  
Contig_2663 	 0.705886 	 signal transduction  
Contig_2663 	 0.705886 	 transport   
Contig_26630 	 0.349663 	 cell organization and biogenesis
Contig_26630 	 0.349663 	 signal transduction  
Contig_26631 	 0.905662 	 other metabolic processes 
Contig_26635 	 0.63298 	 protein metabolism  
Contig_26637 	 0.313188 	 other metabolic processes 
Contig_26638 	 0.21815 	 cell organization and biogenesis
Contig_26638 	 0.21815 	 other biological processes 
Contig_26638 	 0.21815 	 transport   
Contig_26639 	 1.05254 	 cell organization and biogenesis
Contig_26639 	 1.05254 	 cell-cell signaling  
Contig_26639 	 1.05254 	 death   
Contig_26639 	 1.05254 	 developmental processes  
Contig_26639 	 1.05254 	 other biological processes 
Contig_26639 	 1.05254 	 other metabolic processes 
Contig_26639 	 1.05254 	 signal transduction  
Contig_26639 	 1.05254 	 stress response  
Contig_26639 	 1.05254 	 transport   
Contig_2664 	 1.09257 	 cell-cell signaling  
Contig_2664 	 1.09257 	 transport   
Contig_26647 	 0.650741 	 other biological processes 
Contig_26656 	 0.695587 	 cell organization and biogenesis
Contig_26656 	 0.695587 	 other metabolic processes 
Contig_26656 	 0.695587 	 transport   
Contig_26659 	 0.468751 	 other metabolic processes 
Contig_2666 	 0.664845 	 other biological processes 
Contig_2666 	 0.664845 	 transport   
Contig_26663 	 1.01689 	 RNA metabolism  
Contig_26663 	 1.01689 	 cell organization and biogenesis
Contig_26663 	 1.01689 	 other biological processes 
Contig_26663 	 1.01689 	 signal transduction  
Contig_26664 	 0.149477 	 DNA metabolism  
Contig_26664 	 0.149477 	 stress response  
Contig_26668 	 0.816626 	 other metabolic processes 
Contig_2667 	 0.211629 	 RNA metabolism  
Contig_2667 	 0.211629 	 cell cycle and proliferation
Contig_2667 	 0.211629 	 cell organization and biogenesis
Contig_2667 	 0.211629 	 other biological processes 
Contig_2667 	 0.211629 	 other metabolic processes 
Contig_2667 	 0.211629 	 signal transduction  
Contig_2667 	 0.211629 	 stress response  
Contig_26672 	 0.142766 	 RNA metabolism  
Contig_26679 	 0.353681 	 signal transduction  
Contig_26679 	 0.353681 	 transport   
Contig_26685 	 0.276344 	 other metabolic processes 
Contig_26687 	 0.407958 	 cell organization and biogenesis
Contig_26687 	 0.407958 	 developmental processes  
Contig_26687 	 0.407958 	 other biological processes 
Contig_26687 	 0.407958 	 other metabolic processes 
Contig_26687 	 0.407958 	 protein metabolism  
Contig_26687 	 0.407958 	 signal transduction  
Contig_26687 	 0.407958 	 stress response  
Contig_26687 	 0.407958 	 transport   
Contig_26688 	 0.554002 	 transport   
Contig_26690 	 0.750857 	 other metabolic processes 
Contig_26690 	 0.750857 	 transport   
Contig_26691 	 0.698913 	 protein metabolism  
Contig_26693 	 0.985037 	 developmental processes  
Contig_26693 	 0.985037 	 other biological processes 
Contig_26693 	 0.985037 	 other metabolic processes 
Contig_26693 	 0.985037 	 protein metabolism  
Contig_26693 	 0.985037 	 signal transduction  
Contig_26694 	 1.02343 	 RNA metabolism  
Contig_26694 	 1.02343 	 transport   
Contig_26695 	 0.747685 	 RNA metabolism  
Contig_26695 	 0.747685 	 other biological processes 
Contig_26697 	 0.869967 	 transport   
Contig_26698 	 0.292454 	 signal transduction  
Contig_26698 	 0.292454 	 transport   
Contig_26702 	 0.833288 	 RNA metabolism  
Contig_26702 	 0.833288 	 cell cycle and proliferation
Contig_26702 	 0.833288 	 signal transduction  
Contig_26702 	 0.833288 	 stress response  
Contig_26704 	 0.607306 	 cell organization and biogenesis
Contig_26704 	 0.607306 	 other metabolic processes 
Contig_26715 	 0.612543 	 death   
Contig_26715 	 0.612543 	 protein metabolism  
Contig_26717 	 0.358001 	 transport   
Contig_26719 	 0.587725 	 transport   
Contig_26721 	 0.833893 	 other biological processes 
Contig_26721 	 0.833893 	 other metabolic processes 
Contig_26723 	 0.464961 	 cell organization and biogenesis
Contig_26723 	 0.464961 	 other metabolic processes 
Contig_26723 	 0.464961 	 protein metabolism  
Contig_26723 	 0.464961 	 signal transduction  
Contig_26723 	 0.464961 	 transport   
Contig_26724 	 0.41667 	 cell organization and biogenesis
Contig_26724 	 0.41667 	 other metabolic processes 
Contig_26724 	 0.41667 	 protein metabolism  
Contig_26726 	 0.593324 	 other metabolic processes 
Contig_26727 	 0.368188 	 protein metabolism  
Contig_26729 	 0.596496 	 other metabolic processes 
Contig_26730 	 0.581482 	 protein metabolism  
Contig_26732 	 0.346237 	 other biological processes 
Contig_26732 	 0.346237 	 other metabolic processes 
Contig_26733 	 0.777063 	 signal transduction  
Contig_26734 	 0.641551 	 RNA metabolism  
Contig_26734 	 0.641551 	 cell cycle and proliferation
Contig_26734 	 0.641551 	 developmental processes  
Contig_26734 	 0.641551 	 other biological processes 
Contig_26734 	 0.641551 	 other metabolic processes 
Contig_26734 	 0.641551 	 signal transduction  
Contig_26734 	 0.641551 	 stress response  
Contig_2674 	 0.56456 	 RNA metabolism  
Contig_2674 	 0.56456 	 other metabolic processes 
Contig_26740 	 0.766726 	 other metabolic processes 
Contig_26740 	 0.766726 	 protein metabolism  
Contig_26743 	 0.409429 	 RNA metabolism  
Contig_26743 	 0.409429 	 cell cycle and proliferation
Contig_26743 	 0.409429 	 death   
Contig_26743 	 0.409429 	 other biological processes 
Contig_26743 	 0.409429 	 other metabolic processes 
Contig_26743 	 0.409429 	 signal transduction  
Contig_26743 	 0.409429 	 transport   
Contig_26753 	 0.755699 	 transport   
Contig_26754 	 0.417357 	 cell cycle and proliferation
Contig_26754 	 0.417357 	 cell organization and biogenesis
Contig_26754 	 0.417357 	 other biological processes 
Contig_26754 	 0.417357 	 transport   
Contig_26765 	 0.894509 	 cell-cell signaling  
Contig_26765 	 0.894509 	 signal transduction  
Contig_26769 	 0.920105 	 signal transduction  
Contig_26770 	 0.724812 	 transport   
Contig_26779 	 0.442144 	 DNA metabolism  
Contig_26779 	 0.442144 	 cell organization and biogenesis
Contig_26779 	 0.442144 	 death   
Contig_26780 	 1.11297 	 RNA metabolism  
Contig_26780 	 1.11297 	 cell organization and biogenesis
Contig_26780 	 1.11297 	 developmental processes  
Contig_26780 	 1.11297 	 other biological processes 
Contig_26780 	 1.11297 	 other metabolic processes 
Contig_26780 	 1.11297 	 protein metabolism  
Contig_26785 	 0.519415 	 RNA metabolism  
Contig_26787 	 0.841692 	 cell organization and biogenesis
Contig_26787 	 0.841692 	 developmental processes  
Contig_26787 	 0.841692 	 other biological processes 
Contig_26787 	 0.841692 	 transport   
Contig_2679 	 1.0378 	 other biological processes 
Contig_26790 	 0.602748 	 protein metabolism  
Contig_26795 	 0.895145 	 other biological processes 
Contig_26796 	 1.0498 	 RNA metabolism  
Contig_26796 	 1.0498 	 cell cycle and proliferation
Contig_26796 	 1.0498 	 cell organization and biogenesis
Contig_26796 	 1.0498 	 death   
Contig_26796 	 1.0498 	 protein metabolism  
Contig_26796 	 1.0498 	 signal transduction  
Contig_26796 	 1.0498 	 transport   
Contig_26799 	 0.41384 	 DNA metabolism  
Contig_26799 	 0.41384 	 cell cycle and proliferation
Contig_26799 	 0.41384 	 death   
Contig_26799 	 0.41384 	 other metabolic processes 
Contig_26805 	 1.22125 	 other metabolic processes 
Contig_26806 	 1.00474 	 transport   
Contig_26807 	 0.434634 	 cell cycle and proliferation
Contig_26807 	 0.434634 	 cell organization and biogenesis
Contig_26807 	 0.434634 	 other biological processes 
Contig_26808 	 0.237327 	 other biological processes 
Contig_26809 	 0.97143 	 developmental processes  
Contig_26809 	 0.97143 	 other biological processes 
Contig_26809 	 0.97143 	 transport   
Contig_2681 	 0.766399 	 protein metabolism  
Contig_26811 	 0.996844 	 other metabolic processes 
Contig_26811 	 0.996844 	 signal transduction  
Contig_26812 	 0.991729 	 signal transduction  
Contig_26813 	 0.955226 	 RNA metabolism  
Contig_26813 	 0.955226 	 developmental processes  
Contig_26816 	 0.922145 	 other metabolic processes 
Contig_26816 	 0.922145 	 protein metabolism  
Contig_26816 	 0.922145 	 signal transduction  
Contig_26817 	 0.27781 	 other metabolic processes 
Contig_2682 	 0.66331 	 protein metabolism  
Contig_26822 	 0.888187 	 cell adhesion  
Contig_26827 	 0.9435 	 other biological processes 
Contig_26827 	 0.9435 	 other metabolic processes 
Contig_26831 	 0.472919 	 transport   
Contig_26832 	 0.634348 	 RNA metabolism  
Contig_26832 	 0.634348 	 cell cycle and proliferation
Contig_26832 	 0.634348 	 cell organization and biogenesis
Contig_26832 	 0.634348 	 developmental processes  
Contig_26832 	 0.634348 	 transport   
Contig_26833 	 0.823135 	 DNA metabolism  
Contig_26833 	 0.823135 	 other metabolic processes 
Contig_26833 	 0.823135 	 stress response  
Contig_26834 	 0.749128 	 DNA metabolism  
Contig_26834 	 0.749128 	 RNA metabolism  
Contig_26834 	 0.749128 	 cell organization and biogenesis
Contig_26837 	 0.419661 	 other biological processes 
Contig_26837 	 0.419661 	 signal transduction  
Contig_26839 	 0.695213 	 cell organization and biogenesis
Contig_26839 	 0.695213 	 other biological processes 
Contig_26839 	 0.695213 	 other metabolic processes 
Contig_26839 	 0.695213 	 protein metabolism  
Contig_26840 	 1.23525 	 RNA metabolism  
Contig_26840 	 1.23525 	 developmental processes  
Contig_26843 	 0.659537 	 RNA metabolism  
Contig_26843 	 0.659537 	 other metabolic processes 
Contig_26847 	 0.455359 	 DNA metabolism  
Contig_26847 	 0.455359 	 cell organization and biogenesis
Contig_26847 	 0.455359 	 death   
Contig_26847 	 0.455359 	 developmental processes  
Contig_26847 	 0.455359 	 other biological processes 
Contig_26847 	 0.455359 	 other metabolic processes 
Contig_26847 	 0.455359 	 stress response  
Contig_26851 	 0.830445 	 cell organization and biogenesis
Contig_26851 	 0.830445 	 developmental processes  
Contig_26851 	 0.830445 	 other biological processes 
Contig_26851 	 0.830445 	 other metabolic processes 
Contig_26851 	 0.830445 	 protein metabolism  
Contig_26851 	 0.830445 	 signal transduction  
Contig_26853 	 0.405031 	 cell cycle and proliferation
Contig_26853 	 0.405031 	 cell organization and biogenesis
Contig_26854 	 0.69389 	 other biological processes 
Contig_26855 	 1.03237 	 cell cycle and proliferation
Contig_26855 	 1.03237 	 death   
Contig_26855 	 1.03237 	 developmental processes  
Contig_26855 	 1.03237 	 other biological processes 
Contig_26855 	 1.03237 	 other metabolic processes 
Contig_26855 	 1.03237 	 signal transduction  
Contig_26856 	 0.49486 	 other biological processes 
Contig_26858 	 0.938662 	 RNA metabolism  
Contig_26858 	 0.938662 	 cell cycle and proliferation
Contig_26858 	 0.938662 	 cell organization and biogenesis
Contig_26858 	 0.938662 	 cell-cell signaling  
Contig_26858 	 0.938662 	 death   
Contig_26858 	 0.938662 	 developmental processes  
Contig_26858 	 0.938662 	 other biological processes 
Contig_26858 	 0.938662 	 other metabolic processes 
Contig_26858 	 0.938662 	 protein metabolism  
Contig_26858 	 0.938662 	 signal transduction  
Contig_26858 	 0.938662 	 transport   
Contig_26859 	 0.230071 	 RNA metabolism  
Contig_26859 	 0.230071 	 cell cycle and proliferation
Contig_26859 	 0.230071 	 cell organization and biogenesis
Contig_26859 	 0.230071 	 developmental processes  
Contig_26859 	 0.230071 	 other metabolic processes 
Contig_26859 	 0.230071 	 protein metabolism  
Contig_26859 	 0.230071 	 signal transduction  
Contig_26859 	 0.230071 	 stress response  
Contig_26865 	 0.531654 	 DNA metabolism  
Contig_26867 	 0.921857 	 cell cycle and proliferation
Contig_26867 	 0.921857 	 cell organization and biogenesis
Contig_26867 	 0.921857 	 other biological processes 
Contig_26867 	 0.921857 	 other metabolic processes 
Contig_26867 	 0.921857 	 protein metabolism  
Contig_26869 	 0.520034 	 cell cycle and proliferation
Contig_26869 	 0.520034 	 cell organization and biogenesis
Contig_26869 	 0.520034 	 protein metabolism  
Contig_26869 	 0.520034 	 signal transduction  
Contig_26875 	 0.485113 	 protein metabolism  
Contig_26876 	 0.406132 	 transport   
Contig_2688 	 0.572974 	 other biological processes 
Contig_2688 	 0.572974 	 protein metabolism  
Contig_26881 	 0.563185 	 other biological processes 
Contig_26881 	 0.563185 	 other metabolic processes 
Contig_26884 	 0.808937 	 RNA metabolism  
Contig_26884 	 0.808937 	 cell organization and biogenesis
Contig_26884 	 0.808937 	 cell-cell signaling  
Contig_26884 	 0.808937 	 death   
Contig_26884 	 0.808937 	 developmental processes  
Contig_26884 	 0.808937 	 other biological processes 
Contig_26884 	 0.808937 	 other metabolic processes 
Contig_26884 	 0.808937 	 protein metabolism  
Contig_26884 	 0.808937 	 signal transduction  
Contig_26885 	 0.742225 	 cell cycle and proliferation
Contig_26885 	 0.742225 	 cell organization and biogenesis
Contig_26885 	 0.742225 	 developmental processes  
Contig_26885 	 0.742225 	 other biological processes 
Contig_26885 	 0.742225 	 other metabolic processes 
Contig_26885 	 0.742225 	 protein metabolism  
Contig_26888 	 0.853136 	 other biological processes 
Contig_26889 	 0.868068 	 other metabolic processes 
Contig_2689 	 0.796456 	 other biological processes 
Contig_2689 	 0.796456 	 other metabolic processes 
Contig_26894 	 0.37241 	 RNA metabolism  
Contig_26894 	 0.37241 	 protein metabolism  
Contig_26895 	 0.473065 	 other biological processes 
Contig_26898 	 0.791672 	 protein metabolism  
Contig_2690 	 1.12831 	 other biological processes 
Contig_2690 	 1.12831 	 protein metabolism  
Contig_26901 	 1.02689 	 RNA metabolism  
Contig_26901 	 1.02689 	 developmental processes  
Contig_26902 	 0.856419 	 cell organization and biogenesis
Contig_26902 	 0.856419 	 death   
Contig_26902 	 0.856419 	 developmental processes  
Contig_26902 	 0.856419 	 other biological processes 
Contig_26902 	 0.856419 	 signal transduction  
Contig_26902 	 0.856419 	 stress response  
Contig_26902 	 0.856419 	 transport   
Contig_26904 	 1.04611 	 other biological processes 
Contig_26906 	 0.602331 	 RNA metabolism  
Contig_26906 	 0.602331 	 cell cycle and proliferation
Contig_26906 	 0.602331 	 protein metabolism  
Contig_26909 	 0.492221 	 RNA metabolism  
Contig_26909 	 0.492221 	 cell cycle and proliferation
Contig_26909 	 0.492221 	 death   
Contig_26909 	 0.492221 	 developmental processes  
Contig_26909 	 0.492221 	 other biological processes 
Contig_26909 	 0.492221 	 other metabolic processes 
Contig_26909 	 0.492221 	 protein metabolism  
Contig_26909 	 0.492221 	 signal transduction  
Contig_26909 	 0.492221 	 stress response  
Contig_26909 	 0.492221 	 transport   
Contig_26911 	 1.09843 	 RNA metabolism  
Contig_26916 	 0.802132 	 other biological processes 
Contig_26917 	 0.695448 	 cell organization and biogenesis
Contig_26917 	 0.695448 	 developmental processes  
Contig_26917 	 0.695448 	 other biological processes 
Contig_2692 	 0.673487 	 other metabolic processes 
Contig_26921 	 0.220583 	 other biological processes 
Contig_26921 	 0.220583 	 other metabolic processes 
Contig_26923 	 0.70074 	 RNA metabolism  
Contig_26923 	 0.70074 	 cell organization and biogenesis
Contig_26923 	 0.70074 	 death   
Contig_26923 	 0.70074 	 developmental processes  
Contig_26923 	 0.70074 	 other biological processes 
Contig_26923 	 0.70074 	 other metabolic processes 
Contig_26923 	 0.70074 	 protein metabolism  
Contig_26923 	 0.70074 	 signal transduction  
Contig_26923 	 0.70074 	 transport   
Contig_26926 	 0.647687 	 other biological processes 
Contig_26927 	 0.584196 	 transport   
Contig_2693 	 0.540237 	 protein metabolism  
Contig_26930 	 0.983449 	 RNA metabolism  
Contig_26930 	 0.983449 	 cell adhesion  
Contig_26930 	 0.983449 	 developmental processes  
Contig_26930 	 0.983449 	 signal transduction  
Contig_26932 	 0.576451 	 signal transduction  
Contig_26934 	 0.363638 	 other biological processes 
Contig_26934 	 0.363638 	 signal transduction  
Contig_2694 	 0.66234 	 protein metabolism  
Contig_26943 	 0.350085 	 other biological processes 
Contig_26944 	 0.76924 	 signal transduction  
Contig_26944 	 0.76924 	 transport   
Contig_26946 	 0.627101 	 cell cycle and proliferation
Contig_26946 	 0.627101 	 cell organization and biogenesis
Contig_26946 	 0.627101 	 death   
Contig_26946 	 0.627101 	 developmental processes  
Contig_26946 	 0.627101 	 other biological processes 
Contig_26946 	 0.627101 	 other metabolic processes 
Contig_26946 	 0.627101 	 stress response  
Contig_26946 	 0.627101 	 transport   
Contig_26947 	 1.05408 	 other metabolic processes 
Contig_26949 	 0.705431 	 developmental processes  
Contig_26952 	 1.00316 	 signal transduction  
Contig_26953 	 0.321592 	 protein metabolism  
Contig_26953 	 0.321592 	 stress response  
Contig_26955 	 0.216995 	 cell cycle and proliferation
Contig_26955 	 0.216995 	 cell organization and biogenesis
Contig_26955 	 0.216995 	 other biological processes 
Contig_26955 	 0.216995 	 other metabolic processes 
Contig_26955 	 0.216995 	 protein metabolism  
Contig_26955 	 0.216995 	 signal transduction  
Contig_26955 	 0.216995 	 transport   
Contig_26956 	 0.948513 	 cell cycle and proliferation
Contig_26956 	 0.948513 	 death   
Contig_26956 	 0.948513 	 protein metabolism  
Contig_26956 	 0.948513 	 signal transduction  
Contig_26958 	 0.686474 	 other biological processes 
Contig_26959 	 0.377883 	 cell organization and biogenesis
Contig_26959 	 0.377883 	 developmental processes  
Contig_26959 	 0.377883 	 other biological processes 
Contig_26959 	 0.377883 	 other metabolic processes 
Contig_26959 	 0.377883 	 protein metabolism  
Contig_26959 	 0.377883 	 signal transduction  
Contig_26960 	 0.414112 	 transport   
Contig_26965 	 0.464812 	 other biological processes 
Contig_26965 	 0.464812 	 protein metabolism  
Contig_26966 	 0.782146 	 other metabolic processes 
Contig_26971 	 0.4553 	 RNA metabolism  
Contig_26971 	 0.4553 	 developmental processes  
Contig_26972 	 0.488087 	 transport   
Contig_26975 	 0.272258 	 RNA metabolism  
Contig_26975 	 0.272258 	 cell organization and biogenesis
Contig_26975 	 0.272258 	 death   
Contig_26975 	 0.272258 	 developmental processes  
Contig_26975 	 0.272258 	 other biological processes 
Contig_26975 	 0.272258 	 other metabolic processes 
Contig_26975 	 0.272258 	 protein metabolism  
Contig_26975 	 0.272258 	 signal transduction  
Contig_26975 	 0.272258 	 stress response  
Contig_26977 	 0.408961 	 other biological processes 
Contig_26977 	 0.408961 	 signal transduction  
Contig_26977 	 0.408961 	 transport   
Contig_26978 	 0.389516 	 RNA metabolism  
Contig_2698 	 0.687315 	 cell organization and biogenesis
Contig_2698 	 0.687315 	 developmental processes  
Contig_2698 	 0.687315 	 other biological processes 
Contig_2698 	 0.687315 	 transport   
Contig_26980 	 0.502439 	 RNA metabolism  
Contig_26980 	 0.502439 	 cell cycle and proliferation
Contig_26980 	 0.502439 	 cell organization and biogenesis
Contig_26980 	 0.502439 	 death   
Contig_26980 	 0.502439 	 developmental processes  
Contig_26980 	 0.502439 	 other biological processes 
Contig_26980 	 0.502439 	 protein metabolism  
Contig_26980 	 0.502439 	 signal transduction  
Contig_26980 	 0.502439 	 stress response  
Contig_26980 	 0.502439 	 transport   
Contig_26983 	 0.558676 	 RNA metabolism  
Contig_26984 	 0.428329 	 developmental processes  
Contig_26987 	 1.14895 	 developmental processes  
Contig_26987 	 1.14895 	 other biological processes 
Contig_26987 	 1.14895 	 other metabolic processes 
Contig_26988 	 0.584818 	 death   
Contig_26988 	 0.584818 	 other biological processes 
Contig_26988 	 0.584818 	 protein metabolism  
Contig_26988 	 0.584818 	 stress response  
Contig_26992 	 0.51466 	 other metabolic processes 
Contig_26997 	 0.664323 	 other biological processes 
Contig_26998 	 0.273708 	 protein metabolism  
Contig_26999 	 0.639338 	 RNA metabolism  
Contig_2700 	 0.5956 	 other metabolic processes 
Contig_2700 	 0.5956 	 protein metabolism  
Contig_2700 	 0.5956 	 signal transduction  
Contig_27011 	 0.774937 	 transport   
Contig_27019 	 0.790377 	 cell adhesion  
Contig_27019 	 0.790377 	 other biological processes 
Contig_27024 	 0.587993 	 RNA metabolism  
Contig_27024 	 0.587993 	 cell cycle and proliferation
Contig_27024 	 0.587993 	 cell organization and biogenesis
Contig_27024 	 0.587993 	 other metabolic processes 
Contig_27024 	 0.587993 	 protein metabolism  
Contig_27026 	 1.03286 	 RNA metabolism  
Contig_27026 	 1.03286 	 other biological processes 
Contig_27030 	 0.340145 	 other biological processes 
Contig_27030 	 0.340145 	 other metabolic processes 
Contig_27031 	 0.0804728 	 cell cycle and proliferation
Contig_27031 	 0.0804728 	 cell organization and biogenesis
Contig_27031 	 0.0804728 	 developmental processes  
Contig_27031 	 0.0804728 	 protein metabolism  
Contig_27032 	 0.779751 	 RNA metabolism  
Contig_27032 	 0.779751 	 cell cycle and proliferation
Contig_27032 	 0.779751 	 developmental processes  
Contig_27032 	 0.779751 	 signal transduction  
Contig_27032 	 0.779751 	 stress response  
Contig_27036 	 0.969844 	 cell adhesion  
Contig_27036 	 0.969844 	 cell cycle and proliferation
Contig_27036 	 0.969844 	 other biological processes 
Contig_27036 	 0.969844 	 other metabolic processes 
Contig_27041 	 0.801052 	 cell adhesion  
Contig_27042 	 0.632948 	 other biological processes 
Contig_27042 	 0.632948 	 other metabolic processes 
Contig_27042 	 0.632948 	 signal transduction  
Contig_27042 	 0.632948 	 stress response  
Contig_27042 	 0.632948 	 transport   
Contig_27043 	 0.969887 	 RNA metabolism  
Contig_27043 	 0.969887 	 other biological processes 
Contig_27043 	 0.969887 	 stress response  
Contig_27045 	 0.431401 	 cell adhesion  
Contig_27045 	 0.431401 	 cell organization and biogenesis
Contig_27045 	 0.431401 	 developmental processes  
Contig_27045 	 0.431401 	 other biological processes 
Contig_27045 	 0.431401 	 signal transduction  
Contig_27052 	 1.16178 	 other biological processes 
Contig_27052 	 1.16178 	 transport   
Contig_27053 	 0.380708 	 RNA metabolism  
Contig_27053 	 0.380708 	 cell cycle and proliferation
Contig_27053 	 0.380708 	 developmental processes  
Contig_27053 	 0.380708 	 other biological processes 
Contig_27053 	 0.380708 	 other metabolic processes 
Contig_27053 	 0.380708 	 protein metabolism  
Contig_27054 	 0.763241 	 other biological processes 
Contig_27055 	 0.667129 	 other biological processes 
Contig_27058 	 1.01133 	 developmental processes  
Contig_27058 	 1.01133 	 other biological processes 
Contig_27058 	 1.01133 	 other metabolic processes 
Contig_27058 	 1.01133 	 protein metabolism  
Contig_27060 	 0.521689 	 other metabolic processes 
Contig_27062 	 0.742213 	 RNA metabolism  
Contig_27068 	 1.1042 	 protein metabolism  
Contig_27069 	 1.01565 	 transport   
Contig_27070 	 0.849504 	 protein metabolism  
Contig_27071 	 0.99964 	 transport   
Contig_27074 	 0.756436 	 protein metabolism  
Contig_27080 	 0.819556 	 RNA metabolism  
Contig_27084 	 0.913395 	 developmental processes  
Contig_27084 	 0.913395 	 other biological processes 
Contig_27084 	 0.913395 	 protein metabolism  
Contig_27087 	 0.980098 	 other biological processes 
Contig_27093 	 0.592798 	 RNA metabolism  
Contig_2710 	 0.560122 	 protein metabolism  
Contig_27100 	 1.2204 	 cell cycle and proliferation
Contig_27100 	 1.2204 	 cell organization and biogenesis
Contig_27100 	 1.2204 	 developmental processes  
Contig_27100 	 1.2204 	 signal transduction  
Contig_27101 	 0.891263 	 RNA metabolism  
Contig_27101 	 0.891263 	 cell organization and biogenesis
Contig_27101 	 0.891263 	 developmental processes  
Contig_27108 	 0.982555 	 transport   
Contig_2711 	 0.712203 	 developmental processes  
Contig_2711 	 0.712203 	 other biological processes 
Contig_2711 	 0.712203 	 other metabolic processes 
Contig_2711 	 0.712203 	 stress response  
Contig_2711 	 0.712203 	 transport   
Contig_27110 	 1.00068 	 DNA metabolism  
Contig_27110 	 1.00068 	 cell cycle and proliferation
Contig_27110 	 1.00068 	 cell organization and biogenesis
Contig_27110 	 1.00068 	 protein metabolism  
Contig_27110 	 1.00068 	 stress response  
Contig_27112 	 0.244382 	 cell organization and biogenesis
Contig_27112 	 0.244382 	 developmental processes  
Contig_27112 	 0.244382 	 other biological processes 
Contig_27112 	 0.244382 	 other metabolic processes 
Contig_27122 	 0.59601 	 cell organization and biogenesis
Contig_27122 	 0.59601 	 other biological processes 
Contig_27122 	 0.59601 	 other metabolic processes 
Contig_27128 	 0.501238 	 RNA metabolism  
Contig_27131 	 0.909946 	 DNA metabolism  
Contig_27132 	 0.581933 	 cell organization and biogenesis
Contig_27132 	 0.581933 	 developmental processes  
Contig_27132 	 0.581933 	 other metabolic processes 
