Spi_contig00032 	 0.484363 	 cell cycle and proliferation
Spi_isotig02872 	 0.324455 	 RNA metabolism  
Spi_isotig02877 	 0.654671 	 signal transduction  
Spi_isotig02879 	 0.838954 	 developmental processes  
Spi_isotig02879 	 0.838954 	 other biological processes 
Spi_isotig02879 	 0.838954 	 other metabolic processes 
Spi_isotig02879 	 0.838954 	 stress response  
Spi_isotig02883 	 0.495838 	 DNA metabolism  
Spi_isotig02883 	 0.495838 	 RNA metabolism  
Spi_isotig02887 	 0.408796 	 signal transduction  
Spi_isotig02889 	 0.787787 	 cell cycle and proliferation
Spi_isotig02889 	 0.787787 	 developmental processes  
Spi_isotig02889 	 0.787787 	 protein metabolism  
Spi_isotig02889 	 0.787787 	 stress response  
Spi_isotig02890 	 0.694917 	 protein metabolism  
Spi_isotig02891 	 1.41123 	 cell cycle and proliferation
Spi_isotig02891 	 1.41123 	 cell organization and biogenesis
Spi_isotig02891 	 1.41123 	 other biological processes 
Spi_isotig02892 	 1.44045 	 cell cycle and proliferation
Spi_isotig02892 	 1.44045 	 cell organization and biogenesis
Spi_isotig02892 	 1.44045 	 other biological processes 
Spi_isotig02893 	 0.425715 	 death   
Spi_isotig02893 	 0.425715 	 RNA metabolism  
Spi_isotig02897 	 0.683957 	 RNA metabolism  
Spi_isotig02898 	 0.6766 	 other biological processes 
Spi_isotig02898 	 0.6766 	 RNA metabolism  
Spi_isotig02899 	 0.792897 	 other biological processes 
Spi_isotig02899 	 0.792897 	 other metabolic processes 
Spi_isotig02899 	 0.792897 	 protein metabolism  
Spi_isotig02899 	 0.792897 	 RNA metabolism  
Spi_isotig02903 	 0.316162 	 protein metabolism  
Spi_isotig02903 	 0.316162 	 RNA metabolism  
Spi_isotig02913 	 0.739826 	 cell-cell signaling  
Spi_isotig02913 	 0.739826 	 protein metabolism  
Spi_isotig02913 	 0.739826 	 signal transduction  
Spi_isotig02913 	 0.739826 	 transport   
Spi_isotig02921 	 0.711887 	 other biological processes 
Spi_isotig02921 	 0.711887 	 other metabolic processes 
Spi_isotig02923 	 0.547448 	 protein metabolism  
Spi_isotig02923 	 0.547448 	 RNA metabolism  
Spi_isotig02923 	 0.547448 	 transport   
Spi_isotig02925 	 0.209231 	 other metabolic processes 
Spi_isotig02926 	 0.178841 	 cell cycle and proliferation
Spi_isotig02926 	 0.178841 	 cell organization and biogenesis
Spi_isotig02926 	 0.178841 	 death   
Spi_isotig02926 	 0.178841 	 other biological processes 
Spi_isotig02926 	 0.178841 	 other metabolic processes 
Spi_isotig02926 	 0.178841 	 protein metabolism  
Spi_isotig02931 	 0.655958 	 transport   
Spi_isotig02932 	 0.701299 	 transport   
Spi_isotig02933 	 0.917616 	 cell-cell signaling  
Spi_isotig02933 	 0.917616 	 transport   
Spi_isotig02935 	 0.97947 	 other biological processes 
Spi_isotig02935 	 0.97947 	 transport   
Spi_isotig02936 	 0.948175 	 other biological processes 
Spi_isotig02936 	 0.948175 	 transport   
Spi_isotig02938 	 0.616414 	 other biological processes 
Spi_isotig02941 	 0.601305 	 cell cycle and proliferation
Spi_isotig02941 	 0.601305 	 other metabolic processes 
Spi_isotig02942 	 0.514502 	 other biological processes 
Spi_isotig02942 	 0.514502 	 other metabolic processes 
Spi_isotig02948 	 0.827103 	 developmental processes  
Spi_isotig02948 	 0.827103 	 RNA metabolism  
Spi_isotig02955 	 1.09492 	 other biological processes 
Spi_isotig02955 	 1.09492 	 signal transduction  
Spi_isotig02956 	 1.20021 	 other biological processes 
Spi_isotig02956 	 1.20021 	 signal transduction  
Spi_isotig02957 	 0.809213 	 cell organization and biogenesis
Spi_isotig02957 	 0.809213 	 developmental processes  
Spi_isotig02957 	 0.809213 	 other biological processes 
Spi_isotig02957 	 0.809213 	 protein metabolism  
Spi_isotig02959 	 0.926055 	 other metabolic processes 
Spi_isotig02963 	 0.247399 	 other metabolic processes 
Spi_isotig02964 	 0.0319273 	 other metabolic processes 
Spi_isotig02965 	 0.703174 	 cell organization and biogenesis
Spi_isotig02966 	 0.735145 	 cell organization and biogenesis
Spi_isotig02971 	 0.885797 	 other biological processes 
Spi_isotig02972 	 0.901598 	 other biological processes 
Spi_isotig02981 	 0.798844 	 cell cycle and proliferation
Spi_isotig02981 	 0.798844 	 developmental processes  
Spi_isotig02981 	 0.798844 	 other biological processes 
Spi_isotig02981 	 0.798844 	 transport   
Spi_isotig02982 	 0.805852 	 cell organization and biogenesis
Spi_isotig02982 	 0.805852 	 other metabolic processes 
Spi_isotig02982 	 0.805852 	 transport   
Spi_isotig02989 	 1.01872 	 other metabolic processes 
Spi_isotig02990 	 0.965668 	 other metabolic processes 
Spi_isotig02992 	 0.895426 	 stress response  
Spi_isotig02998 	 0.402396 	 other metabolic processes 
Spi_isotig02998 	 0.402396 	 transport   
Spi_isotig03001 	 0.505514 	 other biological processes 
Spi_isotig03011 	 0.827944 	 developmental processes  
Spi_isotig03011 	 0.827944 	 other biological processes 
Spi_isotig03011 	 0.827944 	 protein metabolism  
Spi_isotig03013 	 0.954574 	 other biological processes 
Spi_isotig03014 	 0.856877 	 other biological processes 
Spi_isotig03014 	 0.856877 	 other metabolic processes 
Spi_isotig03014 	 0.856877 	 stress response  
Spi_isotig03015 	 0.264307 	 cell organization and biogenesis
Spi_isotig03015 	 0.264307 	 developmental processes  
Spi_isotig03015 	 0.264307 	 other biological processes 
Spi_isotig03016 	 0.275757 	 developmental processes  
Spi_isotig03016 	 0.275757 	 other biological processes 
Spi_isotig03016 	 0.275757 	 stress response  
Spi_isotig03017 	 0.362349 	 cell organization and biogenesis
Spi_isotig03017 	 0.362349 	 other biological processes 
Spi_isotig03017 	 0.362349 	 other metabolic processes 
Spi_isotig03017 	 0.362349 	 signal transduction  
Spi_isotig03017 	 0.362349 	 transport   
Spi_isotig03018 	 0.324357 	 signal transduction  
Spi_isotig03018 	 0.324357 	 transport   
Spi_isotig03019 	 0.587458 	 other metabolic processes 
Spi_isotig03019 	 0.587458 	 protein metabolism  
Spi_isotig03021 	 0.726161 	 death   
Spi_isotig03021 	 0.726161 	 other metabolic processes 
Spi_isotig03021 	 0.726161 	 protein metabolism  
Spi_isotig03021 	 0.726161 	 signal transduction  
Spi_isotig03023 	 0.539076 	 other metabolic processes 
Spi_isotig03024 	 0.58024 	 developmental processes  
Spi_isotig03024 	 0.58024 	 other biological processes 
Spi_isotig03024 	 0.58024 	 other metabolic processes 
Spi_isotig03031 	 1.1439 	 other metabolic processes 
Spi_isotig03039 	 0.418601 	 other metabolic processes 
Spi_isotig03043 	 0.334583 	 cell cycle and proliferation
Spi_isotig03043 	 0.334583 	 cell organization and biogenesis
Spi_isotig03043 	 0.334583 	 other biological processes 
Spi_isotig03044 	 0.334611 	 cell cycle and proliferation
Spi_isotig03044 	 0.334611 	 cell organization and biogenesis
Spi_isotig03044 	 0.334611 	 other biological processes 
Spi_isotig03045 	 0.236944 	 RNA metabolism  
Spi_isotig03049 	 0.948064 	 cell organization and biogenesis
Spi_isotig03049 	 0.948064 	 other metabolic processes 
Spi_isotig03049 	 0.948064 	 stress response  
Spi_isotig03055 	 0.388423 	 RNA metabolism  
Spi_isotig03059 	 0.270869 	 other biological processes 
Spi_isotig03059 	 0.270869 	 RNA metabolism  
Spi_isotig03060 	 0.287525 	 protein metabolism  
Spi_isotig03061 	 0.609075 	 other biological processes 
Spi_isotig03061 	 0.609075 	 other metabolic processes 
Spi_isotig03061 	 0.609075 	 RNA metabolism  
Spi_isotig03061 	 0.609075 	 transport   
Spi_isotig03062 	 0.903867 	 other metabolic processes 
Spi_isotig03062 	 0.903867 	 transport   
Spi_isotig03065 	 0.97187 	 cell organization and biogenesis
Spi_isotig03065 	 0.97187 	 protein metabolism  
Spi_isotig03065 	 0.97187 	 stress response  
Spi_isotig03066 	 0.876378 	 developmental processes  
Spi_isotig03066 	 0.876378 	 signal transduction  
Spi_isotig03066 	 0.876378 	 stress response  
Spi_isotig03069 	 0.134046 	 transport   
Spi_isotig03070 	 0.200675 	 DNA metabolism  
Spi_isotig03070 	 0.200675 	 transport   
Spi_isotig03073 	 0.900781 	 other metabolic processes 
Spi_isotig03077 	 0.758707 	 other metabolic processes 
Spi_isotig03077 	 0.758707 	 protein metabolism  
Spi_isotig03077 	 0.758707 	 signal transduction  
Spi_isotig03077 	 0.758707 	 transport   
Spi_isotig03086 	 0.688681 	 other metabolic processes 
Spi_isotig03086 	 0.688681 	 transport   
Spi_isotig03088 	 0.204978 	 other biological processes 
Spi_isotig03088 	 0.204978 	 other metabolic processes 
Spi_isotig03088 	 0.204978 	 transport   
Spi_isotig03089 	 0.731218 	 cell organization and biogenesis
Spi_isotig03090 	 0.742669 	 cell organization and biogenesis
Spi_isotig03093 	 0.423645 	 RNA metabolism  
Spi_isotig03093 	 0.423645 	 transport   
Spi_isotig03094 	 0.408423 	 RNA metabolism  
Spi_isotig03094 	 0.408423 	 transport   
Spi_isotig03098 	 0.674284 	 protein metabolism  
Spi_isotig03106 	 0.0315656 	 transport   
Spi_isotig03109 	 0.773385 	 other metabolic processes 
Spi_isotig03109 	 0.773385 	 protein metabolism  
Spi_isotig03111 	 0.461796 	 other biological processes 
Spi_isotig03113 	 0.636297 	 RNA metabolism  
Spi_isotig03114 	 0.638811 	 RNA metabolism  
Spi_isotig03120 	 0.399409 	 cell organization and biogenesis
Spi_isotig03120 	 0.399409 	 protein metabolism  
Spi_isotig03122 	 0.607952 	 other biological processes 
Spi_isotig03127 	 0.279346 	 cell cycle and proliferation
Spi_isotig03127 	 0.279346 	 other biological processes 
Spi_isotig03127 	 0.279346 	 other metabolic processes 
Spi_isotig03129 	 0.665018 	 cell cycle and proliferation
Spi_isotig03129 	 0.665018 	 cell organization and biogenesis
Spi_isotig03129 	 0.665018 	 death   
Spi_isotig03129 	 0.665018 	 developmental processes  
Spi_isotig03129 	 0.665018 	 other biological processes 
Spi_isotig03129 	 0.665018 	 other metabolic processes 
Spi_isotig03129 	 0.665018 	 protein metabolism  
Spi_isotig03129 	 0.665018 	 RNA metabolism  
Spi_isotig03129 	 0.665018 	 signal transduction  
Spi_isotig03130 	 0.677552 	 cell cycle and proliferation
Spi_isotig03130 	 0.677552 	 cell organization and biogenesis
Spi_isotig03130 	 0.677552 	 other biological processes 
Spi_isotig03130 	 0.677552 	 other metabolic processes 
Spi_isotig03130 	 0.677552 	 protein metabolism  
Spi_isotig03134 	 1.11667 	 other biological processes 
Spi_isotig03135 	 0.528684 	 transport   
Spi_isotig03138 	 0.736269 	 developmental processes  
Spi_isotig03138 	 0.736269 	 other biological processes 
Spi_isotig03138 	 0.736269 	 transport   
Spi_isotig03141 	 0.515853 	 other metabolic processes 
Spi_isotig03142 	 0.652748 	 other metabolic processes 
Spi_isotig03143 	 0.886841 	 protein metabolism  
Spi_isotig03147 	 0.841037 	 other metabolic processes 
Spi_isotig03149 	 0.230313 	 other biological processes 
Spi_isotig03149 	 0.230313 	 protein metabolism  
Spi_isotig03149 	 0.230313 	 stress response  
Spi_isotig03150 	 0.333788 	 cell organization and biogenesis
Spi_isotig03150 	 0.333788 	 DNA metabolism  
Spi_isotig03150 	 0.333788 	 other biological processes 
Spi_isotig03150 	 0.333788 	 protein metabolism  
Spi_isotig03150 	 0.333788 	 stress response  
Spi_isotig03151 	 0.938483 	 cell cycle and proliferation
Spi_isotig03151 	 0.938483 	 death   
Spi_isotig03151 	 0.938483 	 developmental processes  
Spi_isotig03151 	 0.938483 	 other metabolic processes 
Spi_isotig03151 	 0.938483 	 protein metabolism  
Spi_isotig03151 	 0.938483 	 signal transduction  
Spi_isotig03151 	 0.938483 	 stress response  
Spi_isotig03156 	 0.361165 	 other metabolic processes 
Spi_isotig03156 	 0.361165 	 protein metabolism  
Spi_isotig03160 	 0.993444 	 cell organization and biogenesis
Spi_isotig03160 	 0.993444 	 developmental processes  
Spi_isotig03160 	 0.993444 	 other biological processes 
Spi_isotig03160 	 0.993444 	 other metabolic processes 
Spi_isotig03163 	 0.936667 	 DNA metabolism  
Spi_isotig03164 	 0.861971 	 DNA metabolism  
Spi_isotig03167 	 0.771231 	 other biological processes 
Spi_isotig03169 	 0.279536 	 cell organization and biogenesis
Spi_isotig03169 	 0.279536 	 other biological processes 
Spi_isotig03169 	 0.279536 	 transport   
Spi_isotig03171 	 0.838002 	 cell cycle and proliferation
Spi_isotig03171 	 0.838002 	 cell organization and biogenesis
Spi_isotig03171 	 0.838002 	 death   
Spi_isotig03171 	 0.838002 	 developmental processes  
Spi_isotig03171 	 0.838002 	 other biological processes 
Spi_isotig03171 	 0.838002 	 other metabolic processes 
Spi_isotig03171 	 0.838002 	 protein metabolism  
Spi_isotig03172 	 0.871042 	 cell cycle and proliferation
Spi_isotig03172 	 0.871042 	 cell organization and biogenesis
Spi_isotig03172 	 0.871042 	 DNA metabolism  
Spi_isotig03172 	 0.871042 	 other biological processes 
Spi_isotig03172 	 0.871042 	 other metabolic processes 
Spi_isotig03172 	 0.871042 	 protein metabolism  
Spi_isotig03172 	 0.871042 	 RNA metabolism  
Spi_isotig03172 	 0.871042 	 signal transduction  
Spi_isotig03172 	 0.871042 	 stress response  
Spi_isotig03172 	 0.871042 	 transport   
Spi_isotig03173 	 1.06989 	 signal transduction  
Spi_isotig03174 	 1.0754 	 signal transduction  
Spi_isotig03181 	 0.781008 	 signal transduction  
Spi_isotig03181 	 0.781008 	 transport   
Spi_isotig03183 	 0.294643 	 RNA metabolism  
Spi_isotig03185 	 0.335321 	 other biological processes 
Spi_isotig03185 	 0.335321 	 other metabolic processes 
Spi_isotig03188 	 0.398365 	 other metabolic processes 
Spi_isotig03188 	 0.398365 	 transport   
Spi_isotig03195 	 0.366259 	 other metabolic processes 
Spi_isotig03199 	 0.55534 	 other metabolic processes 
Spi_isotig03199 	 0.55534 	 protein metabolism  
Spi_isotig03200 	 0.636954 	 other metabolic processes 
Spi_isotig03200 	 0.636954 	 transport   
Spi_isotig03206 	 0.81157 	 death   
Spi_isotig03206 	 0.81157 	 other metabolic processes 
Spi_isotig03206 	 0.81157 	 protein metabolism  
Spi_isotig03206 	 0.81157 	 stress response  
Spi_isotig03207 	 0.488712 	 other metabolic processes 
Spi_isotig03207 	 0.488712 	 protein metabolism  
Spi_isotig03213 	 0.92873 	 other biological processes 
Spi_isotig03213 	 0.92873 	 other metabolic processes 
Spi_isotig03213 	 0.92873 	 protein metabolism  
Spi_isotig03213 	 0.92873 	 stress response  
Spi_isotig03214 	 0.918601 	 developmental processes  
Spi_isotig03214 	 0.918601 	 other biological processes 
Spi_isotig03214 	 0.918601 	 other metabolic processes 
Spi_isotig03214 	 0.918601 	 protein metabolism  
Spi_isotig03215 	 0.415633 	 transport   
Spi_isotig03217 	 0.323308 	 protein metabolism  
Spi_isotig03220 	 0.359174 	 transport   
Spi_isotig03221 	 0.776624 	 death   
Spi_isotig03221 	 0.776624 	 other biological processes 
Spi_isotig03221 	 0.776624 	 other metabolic processes 
Spi_isotig03221 	 0.776624 	 transport   
Spi_isotig03222 	 0.433483 	 other metabolic processes 
Spi_isotig03223 	 0.491649 	 other biological processes 
Spi_isotig03223 	 0.491649 	 protein metabolism  
Spi_isotig03227 	 0.493363 	 cell adhesion  
Spi_isotig03227 	 0.493363 	 developmental processes  
Spi_isotig03227 	 0.493363 	 signal transduction  
Spi_isotig03227 	 0.493363 	 stress response  
Spi_isotig03233 	 1.10315 	 other biological processes 
Spi_isotig03233 	 1.10315 	 transport   
Spi_isotig03234 	 0.931638 	 developmental processes  
Spi_isotig03234 	 0.931638 	 other biological processes 
Spi_isotig03234 	 0.931638 	 other metabolic processes 
Spi_isotig03234 	 0.931638 	 transport   
Spi_isotig03240 	 0.539756 	 protein metabolism  
Spi_isotig03242 	 0.153906 	 protein metabolism  
Spi_isotig03242 	 0.153906 	 stress response  
Spi_isotig03247 	 0.478559 	 cell organization and biogenesis
Spi_isotig03257 	 0.278205 	 other metabolic processes 
Spi_isotig03257 	 0.278205 	 RNA metabolism  
Spi_isotig03258 	 0.125807 	 other metabolic processes 
Spi_isotig03258 	 0.125807 	 RNA metabolism  
Spi_isotig03261 	 0.742216 	 signal transduction  
Spi_isotig03262 	 0.646629 	 cell adhesion  
Spi_isotig03264 	 0.35993 	 cell organization and biogenesis
Spi_isotig03264 	 0.35993 	 other biological processes 
Spi_isotig03264 	 0.35993 	 protein metabolism  
Spi_isotig03264 	 0.35993 	 RNA metabolism  
Spi_isotig03265 	 0.378077 	 other biological processes 
Spi_isotig03265 	 0.378077 	 protein metabolism  
Spi_isotig03285 	 0.87118 	 transport   
Spi_isotig03293 	 0.302064 	 protein metabolism  
Spi_isotig03294 	 0.421153 	 cell organization and biogenesis
Spi_isotig03294 	 0.421153 	 developmental processes  
Spi_isotig03294 	 0.421153 	 other biological processes 
Spi_isotig03294 	 0.421153 	 other metabolic processes 
Spi_isotig03296 	 0.39866 	 RNA metabolism  
Spi_isotig03297 	 0.655819 	 other biological processes 
Spi_isotig03297 	 0.655819 	 transport   
Spi_isotig03302 	 0.815076 	 other biological processes 
Spi_isotig03302 	 0.815076 	 stress response  
Spi_isotig03302 	 0.815076 	 transport   
Spi_isotig03311 	 0.69361 	 cell organization and biogenesis
Spi_isotig03311 	 0.69361 	 other biological processes 
Spi_isotig03312 	 0.542605 	 cell organization and biogenesis
Spi_isotig03312 	 0.542605 	 other biological processes 
Spi_isotig03315 	 0.325666 	 cell cycle and proliferation
Spi_isotig03315 	 0.325666 	 cell organization and biogenesis
Spi_isotig03315 	 0.325666 	 other biological processes 
Spi_isotig03315 	 0.325666 	 transport   
Spi_isotig03319 	 0.222458 	 other biological processes 
Spi_isotig03325 	 0.175795 	 cell cycle and proliferation
Spi_isotig03325 	 0.175795 	 cell organization and biogenesis
Spi_isotig03325 	 0.175795 	 other biological processes 
Spi_isotig03325 	 0.175795 	 transport   
Spi_isotig03328 	 0.800506 	 other biological processes 
Spi_isotig03328 	 0.800506 	 RNA metabolism  
Spi_isotig03335 	 0.757576 	 developmental processes  
Spi_isotig03335 	 0.757576 	 other biological processes 
Spi_isotig03335 	 0.757576 	 other metabolic processes 
Spi_isotig03337 	 0.406601 	 other metabolic processes 
Spi_isotig03338 	 0.417988 	 other metabolic processes 
Spi_isotig03339 	 0.9327 	 other biological processes 
Spi_isotig03339 	 0.9327 	 other metabolic processes 
Spi_isotig03339 	 0.9327 	 transport   
Spi_isotig03341 	 1.07255 	 cell adhesion  
Spi_isotig03341 	 1.07255 	 developmental processes  
Spi_isotig03341 	 1.07255 	 other biological processes 
Spi_isotig03342 	 0.905929 	 developmental processes  
Spi_isotig03342 	 0.905929 	 protein metabolism  
Spi_isotig03342 	 0.905929 	 RNA metabolism  
Spi_isotig03342 	 0.905929 	 signal transduction  
Spi_isotig03343 	 0.347471 	 other metabolic processes 
Spi_isotig03345 	 0.852501 	 RNA metabolism  
Spi_isotig03347 	 0.895982 	 cell adhesion  
Spi_isotig03347 	 0.895982 	 cell cycle and proliferation
Spi_isotig03347 	 0.895982 	 cell organization and biogenesis
Spi_isotig03349 	 0.85649 	 signal transduction  
Spi_isotig03355 	 0.328806 	 protein metabolism  
Spi_isotig03355 	 0.328806 	 stress response  
Spi_isotig03356 	 0.317879 	 protein metabolism  
Spi_isotig03356 	 0.317879 	 stress response  
Spi_isotig03361 	 0.289239 	 transport   
Spi_isotig03364 	 0.875098 	 developmental processes  
Spi_isotig03366 	 0.436714 	 cell organization and biogenesis
Spi_isotig03366 	 0.436714 	 death   
Spi_isotig03366 	 0.436714 	 DNA metabolism  
Spi_isotig03374 	 0.4337 	 protein metabolism  
Spi_isotig03378 	 0.69231 	 other biological processes 
Spi_isotig03379 	 0.5002 	 other biological processes 
Spi_isotig03379 	 0.5002 	 other metabolic processes 
Spi_isotig03380 	 0.601373 	 other metabolic processes 
Spi_isotig03381 	 0.328093 	 protein metabolism  
Spi_isotig03382 	 0.332241 	 protein metabolism  
Spi_isotig03385 	 0.322371 	 protein metabolism  
Spi_isotig03385 	 0.322371 	 RNA metabolism  
Spi_isotig03386 	 0.352557 	 protein metabolism  
Spi_isotig03386 	 0.352557 	 RNA metabolism  
Spi_isotig03387 	 0.380185 	 developmental processes  
Spi_isotig03387 	 0.380185 	 other biological processes 
Spi_isotig03387 	 0.380185 	 other metabolic processes 
Spi_isotig03389 	 0.852538 	 other biological processes 
Spi_isotig03390 	 0.746068 	 other biological processes 
Spi_isotig03394 	 1.14289 	 cell cycle and proliferation
Spi_isotig03394 	 1.14289 	 death   
Spi_isotig03394 	 1.14289 	 other biological processes 
Spi_isotig03394 	 1.14289 	 signal transduction  
Spi_isotig03394 	 1.14289 	 stress response  
Spi_isotig03397 	 0.358948 	 other metabolic processes 
Spi_isotig03401 	 0.534953 	 protein metabolism  
Spi_isotig03402 	 0.543054 	 protein metabolism  
Spi_isotig03406 	 0.487493 	 cell organization and biogenesis
Spi_isotig03406 	 0.487493 	 developmental processes  
Spi_isotig03406 	 0.487493 	 other biological processes 
Spi_isotig03411 	 0.54678 	 cell cycle and proliferation
Spi_isotig03411 	 0.54678 	 developmental processes  
Spi_isotig03411 	 0.54678 	 protein metabolism  
Spi_isotig03411 	 0.54678 	 signal transduction  
Spi_isotig03413 	 0.519193 	 other biological processes 
Spi_isotig03414 	 0.794676 	 cell cycle and proliferation
Spi_isotig03414 	 0.794676 	 DNA metabolism  
Spi_isotig03415 	 0.638426 	 protein metabolism  
Spi_isotig03425 	 0.234326 	 cell cycle and proliferation
Spi_isotig03425 	 0.234326 	 cell organization and biogenesis
Spi_isotig03425 	 0.234326 	 other biological processes 
Spi_isotig03426 	 0.435984 	 developmental processes  
Spi_isotig03426 	 0.435984 	 other biological processes 
Spi_isotig03426 	 0.435984 	 RNA metabolism  
Spi_isotig03431 	 0.508483 	 RNA metabolism  
Spi_isotig03434 	 0.565041 	 death   
Spi_isotig03434 	 0.565041 	 developmental processes  
Spi_isotig03434 	 0.565041 	 RNA metabolism  
Spi_isotig03441 	 0.786093 	 other biological processes 
Spi_isotig03445 	 0.835595 	 other biological processes 
Spi_isotig03445 	 0.835595 	 other metabolic processes 
Spi_isotig03445 	 0.835595 	 transport   
Spi_isotig03446 	 0.700709 	 other biological processes 
Spi_isotig03446 	 0.700709 	 other metabolic processes 
Spi_isotig03446 	 0.700709 	 stress response  
Spi_isotig03446 	 0.700709 	 transport   
Spi_isotig03450 	 1.00302 	 death   
Spi_isotig03450 	 1.00302 	 protein metabolism  
Spi_isotig03452 	 0.375541 	 other biological processes 
Spi_isotig03453 	 0.204116 	 other metabolic processes 
Spi_isotig03455 	 0.543029 	 other biological processes 
Spi_isotig03455 	 0.543029 	 other metabolic processes 
Spi_isotig03456 	 0.514095 	 cell organization and biogenesis
Spi_isotig03456 	 0.514095 	 transport   
Spi_isotig03459 	 0.885133 	 other metabolic processes 
Spi_isotig03465 	 1.42003 	 cell-cell signaling  
Spi_isotig03465 	 1.42003 	 cell organization and biogenesis
Spi_isotig03465 	 1.42003 	 developmental processes  
Spi_isotig03465 	 1.42003 	 other biological processes 
Spi_isotig03465 	 1.42003 	 other metabolic processes 
Spi_isotig03465 	 1.42003 	 signal transduction  
Spi_isotig03465 	 1.42003 	 stress response  
Spi_isotig03465 	 1.42003 	 transport   
Spi_isotig03466 	 1.42408 	 signal transduction  
Spi_isotig03468 	 1.01512 	 cell organization and biogenesis
Spi_isotig03468 	 1.01512 	 developmental processes  
Spi_isotig03483 	 0.752267 	 protein metabolism  
Spi_isotig03485 	 0.935437 	 cell organization and biogenesis
Spi_isotig03485 	 0.935437 	 other biological processes 
Spi_isotig03489 	 0.396152 	 protein metabolism  
Spi_isotig03495 	 0.613184 	 cell organization and biogenesis
Spi_isotig03496 	 0.570222 	 cell organization and biogenesis
Spi_isotig03497 	 0.315296 	 protein metabolism  
Spi_isotig03498 	 0.404266 	 protein metabolism  
Spi_isotig03503 	 0.695159 	 other biological processes 
Spi_isotig03511 	 0.391958 	 cell organization and biogenesis
Spi_isotig03511 	 0.391958 	 other biological processes 
Spi_isotig03511 	 0.391958 	 stress response  
Spi_isotig03511 	 0.391958 	 transport   
Spi_isotig03513 	 0.844022 	 other biological processes 
Spi_isotig03515 	 0.614506 	 other biological processes 
Spi_isotig03517 	 0.296401 	 cell organization and biogenesis
Spi_isotig03517 	 0.296401 	 other biological processes 
Spi_isotig03517 	 0.296401 	 protein metabolism  
Spi_isotig03517 	 0.296401 	 transport   
Spi_isotig03519 	 0.149207 	 other biological processes 
Spi_isotig03519 	 0.149207 	 signal transduction  
Spi_isotig03519 	 0.149207 	 transport   
Spi_isotig03521 	 0.469857 	 other metabolic processes 
Spi_isotig03522 	 0.583464 	 other metabolic processes 
Spi_isotig03522 	 0.583464 	 protein metabolism  
Spi_isotig03527 	 0.665886 	 other metabolic processes 
Spi_isotig03529 	 0.761964 	 protein metabolism  
Spi_isotig03530 	 0.733667 	 protein metabolism  
Spi_isotig03531 	 0.285912 	 other metabolic processes 
Spi_isotig03537 	 0.811358 	 other biological processes 
Spi_isotig03539 	 0.359518 	 other biological processes 
Spi_isotig03540 	 0.324128 	 protein metabolism  
Spi_isotig03541 	 1.15272 	 developmental processes  
Spi_isotig03541 	 1.15272 	 other biological processes 
Spi_isotig03541 	 1.15272 	 RNA metabolism  
Spi_isotig03542 	 1.14301 	 RNA metabolism  
Spi_isotig03547 	 0.437847 	 other biological processes 
Spi_isotig03547 	 0.437847 	 other metabolic processes 
Spi_isotig03547 	 0.437847 	 transport   
Spi_isotig03548 	 0.351863 	 other biological processes 
Spi_isotig03548 	 0.351863 	 other metabolic processes 
Spi_isotig03548 	 0.351863 	 transport   
Spi_isotig03549 	 0.987602 	 RNA metabolism  
Spi_isotig03551 	 0.354017 	 other biological processes 
Spi_isotig03551 	 0.354017 	 other metabolic processes 
Spi_isotig03555 	 1.01114 	 cell cycle and proliferation
Spi_isotig03555 	 1.01114 	 cell organization and biogenesis
Spi_isotig03555 	 1.01114 	 DNA metabolism  
Spi_isotig03555 	 1.01114 	 other biological processes 
Spi_isotig03555 	 1.01114 	 other metabolic processes 
Spi_isotig03555 	 1.01114 	 signal transduction  
Spi_isotig03555 	 1.01114 	 stress response  
Spi_isotig03559 	 0.730072 	 protein metabolism  
Spi_isotig03560 	 0.934697 	 stress response  
Spi_isotig03560 	 0.934697 	 transport   
Spi_isotig03567 	 0.420013 	 death   
Spi_isotig03567 	 0.420013 	 developmental processes  
Spi_isotig03567 	 0.420013 	 other metabolic processes 
Spi_isotig03567 	 0.420013 	 protein metabolism  
Spi_isotig03567 	 0.420013 	 signal transduction  
Spi_isotig03567 	 0.420013 	 stress response  
Spi_isotig03578 	 0.531739 	 developmental processes  
Spi_isotig03585 	 0.481673 	 cell organization and biogenesis
Spi_isotig03585 	 0.481673 	 other biological processes 
Spi_isotig03585 	 0.481673 	 protein metabolism  
Spi_isotig03585 	 0.481673 	 RNA metabolism  
Spi_isotig03585 	 0.481673 	 signal transduction  
Spi_isotig03585 	 0.481673 	 stress response  
Spi_isotig03586 	 0.514229 	 cell organization and biogenesis
Spi_isotig03586 	 0.514229 	 protein metabolism  
Spi_isotig03586 	 0.514229 	 RNA metabolism  
Spi_isotig03586 	 0.514229 	 stress response  
Spi_isotig03591 	 0.943383 	 protein metabolism  
Spi_isotig03591 	 0.943383 	 stress response  
Spi_isotig03592 	 0.955607 	 protein metabolism  
Spi_isotig03592 	 0.955607 	 stress response  
Spi_isotig03599 	 0.646487 	 other biological processes 
Spi_isotig03600 	 0.516775 	 other biological processes 
Spi_isotig03602 	 0.675666 	 cell organization and biogenesis
Spi_isotig03602 	 0.675666 	 other metabolic processes 
Spi_isotig03602 	 0.675666 	 RNA metabolism  
Spi_isotig03604 	 0.427814 	 protein metabolism  
Spi_isotig03608 	 0.354706 	 RNA metabolism  
