Locus_10004_Transcript_1/1_Confidence_1.000_Length_174_transcripts_v2_10976 	 0.230119 	 transport    
Locus_28225_Transcript_1/1_Confidence_1.000_Length_829_transcripts_v2_13127 	 0.611194 	 protein metabolism  
Locus_28225_Transcript_1/1_Confidence_1.000_Length_829_transcripts_v2_13127 	 0.611194 	 stress response  
Locus_28257_Transcript_1/1_Confidence_1.000_Length_202_transcripts_v2_19871 	 0.827057 	 cell cycle and proliferation
Locus_28257_Transcript_1/1_Confidence_1.000_Length_202_transcripts_v2_19871 	 0.827057 	 cell organization and biogenesis
Locus_28257_Transcript_1/1_Confidence_1.000_Length_202_transcripts_v2_19871 	 0.827057 	 other biological processes 
Locus_28257_Transcript_1/1_Confidence_1.000_Length_202_transcripts_v2_19871 	 0.827057 	 other metabolic processes 
Locus_28257_Transcript_1/1_Confidence_1.000_Length_202_transcripts_v2_19871 	 0.827057 	 protein metabolism  
Locus_28259_Transcript_1/1_Confidence_1.000_Length_189_transcripts_v2_20833 	 0.816822 	 other metabolic processes 
Locus_28260_Transcript_1/1_Confidence_1.000_Length_192_transcripts_v2_20590 	 0.411818 	 protein metabolism  
Locus_28265_Transcript_1/1_Confidence_1.000_Length_200_transcripts_v2_20011 	 0.870152 	 other metabolic processes 
Locus_28266_Transcript_1/1_Confidence_1.000_Length_810_transcripts_v2_13165 	 0.825473 	 other metabolic processes 
Locus_2826_Transcript_1/1_Confidence_1.000_Length_1008_transcripts_v2_12822 	 0.445975 	 RNA metabolism  
Locus_2826_Transcript_1/1_Confidence_1.000_Length_1008_transcripts_v2_12822 	 0.445975 	 cell organization and biogenesis
Locus_2826_Transcript_1/1_Confidence_1.000_Length_1008_transcripts_v2_12822 	 0.445975 	 cell-cell signaling  
Locus_2826_Transcript_1/1_Confidence_1.000_Length_1008_transcripts_v2_12822 	 0.445975 	 developmental processes  
Locus_2826_Transcript_1/1_Confidence_1.000_Length_1008_transcripts_v2_12822 	 0.445975 	 other biological processes 
Locus_2826_Transcript_1/1_Confidence_1.000_Length_1008_transcripts_v2_12822 	 0.445975 	 other metabolic processes 
Locus_2826_Transcript_1/1_Confidence_1.000_Length_1008_transcripts_v2_12822 	 0.445975 	 protein metabolism  
Locus_2826_Transcript_1/1_Confidence_1.000_Length_1008_transcripts_v2_12822 	 0.445975 	 signal transduction  
Locus_28276_Transcript_1/1_Confidence_1.000_Length_829_transcripts_v2_13128 	 1.16698 	 transport   
Locus_28278_Transcript_1/3_Confidence_0.714_Length_981_transcripts_v2_12860 	 0.715437 	 other metabolic processes 
Locus_28278_Transcript_2/3_Confidence_0.714_Length_981_transcripts_v2_12861 	 0.741231 	 other biological processes 
Locus_28278_Transcript_2/3_Confidence_0.714_Length_981_transcripts_v2_12861 	 0.741231 	 other metabolic processes 
Locus_28278_Transcript_2/3_Confidence_0.714_Length_981_transcripts_v2_12861 	 0.741231 	 transport   
Locus_28278_Transcript_3/3_Confidence_0.714_Length_981_transcripts_v2_12862 	 0.731063 	 cell cycle and proliferation
Locus_28278_Transcript_3/3_Confidence_0.714_Length_981_transcripts_v2_12862 	 0.731063 	 cell organization and biogenesis
Locus_28278_Transcript_3/3_Confidence_0.714_Length_981_transcripts_v2_12862 	 0.731063 	 other biological processes 
Locus_28278_Transcript_3/3_Confidence_0.714_Length_981_transcripts_v2_12862 	 0.731063 	 other metabolic processes 
Locus_28278_Transcript_3/3_Confidence_0.714_Length_981_transcripts_v2_12862 	 0.731063 	 transport   
Locus_28279_Transcript_1/1_Confidence_1.000_Length_379_transcripts_v2_15340 	 1.3081 	 other biological processes 
Locus_28279_Transcript_1/1_Confidence_1.000_Length_379_transcripts_v2_15340 	 1.3081 	 other metabolic processes 
Locus_28297_Transcript_1/1_Confidence_1.000_Length_802_transcripts_v2_13191 	 0.22484 	 protein metabolism  
Locus_28300_Transcript_1/1_Confidence_1.000_Length_194_transcripts_v2_20435 	 0.77383 	 RNA metabolism  
Locus_28300_Transcript_1/1_Confidence_1.000_Length_194_transcripts_v2_20435 	 0.77383 	 cell cycle and proliferation
Locus_28302_Transcript_1/1_Confidence_1.000_Length_302_transcripts_v2_16454 	 1.04824 	 other metabolic processes 
Locus_28309_Transcript_1/1_Confidence_1.000_Length_372_transcripts_v2_15412 	 0.406155 	 protein metabolism  
Locus_28317_Transcript_1/1_Confidence_1.000_Length_451_transcripts_v2_14744 	 0.307799 	 other biological processes 
Locus_28317_Transcript_1/1_Confidence_1.000_Length_451_transcripts_v2_14744 	 0.307799 	 signal transduction  
Locus_28322_Transcript_1/1_Confidence_1.000_Length_164_transcripts_v2_23094 	 0.815248 	 other metabolic processes 
Locus_28328_Transcript_1/1_Confidence_1.000_Length_1626_transcripts_v2_12349 	 0.669289 	 cell organization and biogenesis
Locus_28328_Transcript_1/1_Confidence_1.000_Length_1626_transcripts_v2_12349 	 0.669289 	 other metabolic processes 
Locus_28328_Transcript_1/1_Confidence_1.000_Length_1626_transcripts_v2_12349 	 0.669289 	 protein metabolism  
Locus_28331_Transcript_4/4_Confidence_0.529_Length_832_transcripts_v2_13121 	 0.743751 	 developmental processes  
Locus_28345_Transcript_1/1_Confidence_1.000_Length_165_transcripts_v2_22989 	 0.714517 	 RNA metabolism  
Locus_28345_Transcript_1/1_Confidence_1.000_Length_165_transcripts_v2_22989 	 0.714517 	 other biological processes 
Locus_28345_Transcript_1/1_Confidence_1.000_Length_165_transcripts_v2_22989 	 0.714517 	 other metabolic processes 
Locus_28345_Transcript_1/1_Confidence_1.000_Length_165_transcripts_v2_22989 	 0.714517 	 transport   
Locus_28366_Transcript_1/1_Confidence_1.000_Length_165_transcripts_v2_22990 	 0.948606 	 other metabolic processes 
Locus_28373_Transcript_1/1_Confidence_1.000_Length_407_transcripts_v2_15085 	 0.635848 	 cell organization and biogenesis
Locus_28373_Transcript_1/1_Confidence_1.000_Length_407_transcripts_v2_15085 	 0.635848 	 developmental processes  
Locus_28373_Transcript_1/1_Confidence_1.000_Length_407_transcripts_v2_15085 	 0.635848 	 other biological processes 
Locus_28373_Transcript_1/1_Confidence_1.000_Length_407_transcripts_v2_15085 	 0.635848 	 protein metabolism  
Locus_28373_Transcript_1/1_Confidence_1.000_Length_407_transcripts_v2_15085 	 0.635848 	 transport   
Locus_28375_Transcript_1/1_Confidence_1.000_Length_559_transcripts_v2_14094 	 0.848166 	 RNA metabolism  
Locus_28378_Transcript_1/1_Confidence_1.000_Length_622_transcripts_v2_13783 	 0.571561 	 protein metabolism  
Locus_28379_Transcript_1/1_Confidence_1.000_Length_196_transcripts_v2_20278 	 0.586907 	 other biological processes 
Locus_28384_Transcript_1/1_Confidence_1.000_Length_172_transcripts_v2_22222 	 0.735569 	 transport   
Locus_2839_Transcript_1/1_Confidence_1.000_Length_201_transcripts_v2_19894 	 0.360723 	 DNA metabolism  
Locus_2839_Transcript_1/1_Confidence_1.000_Length_201_transcripts_v2_19894 	 0.360723 	 cell cycle and proliferation
Locus_2839_Transcript_1/1_Confidence_1.000_Length_201_transcripts_v2_19894 	 0.360723 	 developmental processes  
Locus_2839_Transcript_1/1_Confidence_1.000_Length_201_transcripts_v2_19894 	 0.360723 	 other biological processes 
Locus_2839_Transcript_1/1_Confidence_1.000_Length_201_transcripts_v2_19894 	 0.360723 	 other metabolic processes 
Locus_2839_Transcript_1/1_Confidence_1.000_Length_201_transcripts_v2_19894 	 0.360723 	 protein metabolism  
Locus_2839_Transcript_1/1_Confidence_1.000_Length_201_transcripts_v2_19894 	 0.360723 	 signal transduction  
Locus_2839_Transcript_1/1_Confidence_1.000_Length_201_transcripts_v2_19894 	 0.360723 	 stress response  
Locus_28400_Transcript_1/1_Confidence_1.000_Length_502_transcripts_v2_14401 	 0.742488 	 RNA metabolism  
Locus_28400_Transcript_1/1_Confidence_1.000_Length_502_transcripts_v2_14401 	 0.742488 	 other biological processes 
Locus_28414_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19394 	 0.515274 	 cell adhesion  
Locus_28414_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19394 	 0.515274 	 cell organization and biogenesis
Locus_28414_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19394 	 0.515274 	 death   
Locus_28414_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19394 	 0.515274 	 developmental processes  
Locus_28414_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19394 	 0.515274 	 other biological processes 
Locus_28414_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19394 	 0.515274 	 other metabolic processes 
Locus_28414_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19394 	 0.515274 	 protein metabolism  
Locus_28414_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19394 	 0.515274 	 signal transduction  
Locus_2841_Transcript_1/2_Confidence_1.000_Length_977_transcripts_v2_12872 	 0.820995 	 cell-cell signaling  
Locus_2841_Transcript_1/2_Confidence_1.000_Length_977_transcripts_v2_12872 	 0.820995 	 signal transduction  
Locus_2841_Transcript_2/2_Confidence_1.000_Length_965_transcripts_v2_12888 	 0.818138 	 cell-cell signaling  
Locus_2841_Transcript_2/2_Confidence_1.000_Length_965_transcripts_v2_12888 	 0.818138 	 signal transduction  
Locus_28423_Transcript_1/1_Confidence_1.000_Length_246_transcripts_v2_17827 	 0.956145 	 DNA metabolism  
Locus_28423_Transcript_1/1_Confidence_1.000_Length_246_transcripts_v2_17827 	 0.956145 	 cell cycle and proliferation
Locus_28423_Transcript_1/1_Confidence_1.000_Length_246_transcripts_v2_17827 	 0.956145 	 other metabolic processes 
Locus_2842_Transcript_1/2_Confidence_1.000_Length_1860_transcripts_v2_12255 	 0.675082 	 cell organization and biogenesis
Locus_2842_Transcript_1/2_Confidence_1.000_Length_1860_transcripts_v2_12255 	 0.675082 	 developmental processes  
Locus_2842_Transcript_1/2_Confidence_1.000_Length_1860_transcripts_v2_12255 	 0.675082 	 other biological processes 
Locus_2842_Transcript_1/2_Confidence_1.000_Length_1860_transcripts_v2_12255 	 0.675082 	 transport   
Locus_28445_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19395 	 0.587212 	 RNA metabolism  
Locus_28445_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_19395 	 0.587212 	 other metabolic processes 
Locus_28451_Transcript_1/1_Confidence_1.000_Length_729_transcripts_v2_13396 	 0.803197 	 RNA metabolism  
Locus_28451_Transcript_1/1_Confidence_1.000_Length_729_transcripts_v2_13396 	 0.803197 	 transport   
Locus_28452_Transcript_1/1_Confidence_1.000_Length_328_transcripts_v2_15998 	 0.739235 	 DNA metabolism  
Locus_28452_Transcript_1/1_Confidence_1.000_Length_328_transcripts_v2_15998 	 0.739235 	 cell cycle and proliferation
Locus_28453_Transcript_1/1_Confidence_1.000_Length_393_transcripts_v2_15182 	 0.629707 	 RNA metabolism  
Locus_28453_Transcript_1/1_Confidence_1.000_Length_393_transcripts_v2_15182 	 0.629707 	 cell organization and biogenesis
Locus_28453_Transcript_1/1_Confidence_1.000_Length_393_transcripts_v2_15182 	 0.629707 	 other metabolic processes 
Locus_28453_Transcript_1/1_Confidence_1.000_Length_393_transcripts_v2_15182 	 0.629707 	 transport   
Locus_28460_Transcript_1/1_Confidence_1.000_Length_261_transcripts_v2_17370 	 0.582878 	 other metabolic processes 
Locus_28461_Transcript_1/1_Confidence_1.000_Length_232_transcripts_v2_18372 	 0.840564 	 DNA metabolism  
Locus_28461_Transcript_1/1_Confidence_1.000_Length_232_transcripts_v2_18372 	 0.840564 	 RNA metabolism  
Locus_28461_Transcript_1/1_Confidence_1.000_Length_232_transcripts_v2_18372 	 0.840564 	 protein metabolism  
Locus_28461_Transcript_1/1_Confidence_1.000_Length_232_transcripts_v2_18372 	 0.840564 	 stress response  
Locus_28468_Transcript_1/1_Confidence_1.000_Length_668_transcripts_v2_13599 	 0.519815 	 other biological processes 
Locus_28468_Transcript_1/1_Confidence_1.000_Length_668_transcripts_v2_13599 	 0.519815 	 other metabolic processes 
Locus_28468_Transcript_1/1_Confidence_1.000_Length_668_transcripts_v2_13599 	 0.519815 	 signal transduction  
Locus_28468_Transcript_1/1_Confidence_1.000_Length_668_transcripts_v2_13599 	 0.519815 	 transport   
Locus_28470_Transcript_1/1_Confidence_1.000_Length_1251_transcripts_v2_12568 	 0.148623 	 DNA metabolism  
Locus_28470_Transcript_1/1_Confidence_1.000_Length_1251_transcripts_v2_12568 	 0.148623 	 RNA metabolism  
Locus_28470_Transcript_1/1_Confidence_1.000_Length_1251_transcripts_v2_12568 	 0.148623 	 cell cycle and proliferation
Locus_28470_Transcript_1/1_Confidence_1.000_Length_1251_transcripts_v2_12568 	 0.148623 	 death   
Locus_28470_Transcript_1/1_Confidence_1.000_Length_1251_transcripts_v2_12568 	 0.148623 	 developmental processes  
Locus_28470_Transcript_1/1_Confidence_1.000_Length_1251_transcripts_v2_12568 	 0.148623 	 other biological processes 
Locus_28470_Transcript_1/1_Confidence_1.000_Length_1251_transcripts_v2_12568 	 0.148623 	 stress response  
Locus_28484_Transcript_1/1_Confidence_1.000_Length_745_transcripts_v2_13349 	 1.12969 	 cell organization and biogenesis
Locus_28484_Transcript_1/1_Confidence_1.000_Length_745_transcripts_v2_13349 	 1.12969 	 developmental processes  
Locus_28488_Transcript_1/1_Confidence_1.000_Length_383_transcripts_v2_15304 	 0.80149 	 RNA metabolism  
Locus_28488_Transcript_1/1_Confidence_1.000_Length_383_transcripts_v2_15304 	 0.80149 	 developmental processes  
Locus_28490_Transcript_1/1_Confidence_1.000_Length_173_transcripts_v2_22149 	 0.352238 	 DNA metabolism  
Locus_28490_Transcript_1/1_Confidence_1.000_Length_173_transcripts_v2_22149 	 0.352238 	 cell cycle and proliferation
Locus_28490_Transcript_1/1_Confidence_1.000_Length_173_transcripts_v2_22149 	 0.352238 	 other biological processes 
Locus_28490_Transcript_1/1_Confidence_1.000_Length_173_transcripts_v2_22149 	 0.352238 	 stress response  
Locus_28492_Transcript_1/1_Confidence_1.000_Length_145_transcripts_v2_23189 	 0.426921 	 protein metabolism  
Locus_28496_Transcript_1/1_Confidence_1.000_Length_176_transcripts_v2_21861 	 0.655577 	 developmental processes  
Locus_28496_Transcript_1/1_Confidence_1.000_Length_176_transcripts_v2_21861 	 0.655577 	 other biological processes 
Locus_28496_Transcript_1/1_Confidence_1.000_Length_176_transcripts_v2_21861 	 0.655577 	 protein metabolism  
Locus_28496_Transcript_1/1_Confidence_1.000_Length_176_transcripts_v2_21861 	 0.655577 	 signal transduction  
Locus_28498_Transcript_1/3_Confidence_0.500_Length_777_transcripts_v2_13257 	 0.561402 	 protein metabolism  
Locus_28498_Transcript_2/3_Confidence_0.500_Length_512_transcripts_v2_14346 	 0.581179 	 protein metabolism  
Locus_28498_Transcript_3/3_Confidence_0.333_Length_674_transcripts_v2_13576 	 0.434881 	 protein metabolism  
Locus_28500_Transcript_1/1_Confidence_1.000_Length_340_transcripts_v2_15816 	 1.07313 	 protein metabolism  
Locus_28506_Transcript_1/1_Confidence_1.000_Length_402_transcripts_v2_15120 	 0.657695 	 other biological processes 
Locus_28508_Transcript_1/1_Confidence_1.000_Length_652_transcripts_v2_13665 	 0.95251 	 RNA metabolism  
Locus_28508_Transcript_1/1_Confidence_1.000_Length_652_transcripts_v2_13665 	 0.95251 	 other metabolic processes 
Locus_28508_Transcript_1/1_Confidence_1.000_Length_652_transcripts_v2_13665 	 0.95251 	 signal transduction  
Locus_28509_Transcript_1/1_Confidence_1.000_Length_170_transcripts_v2_22442 	 0.444171 	 other metabolic processes 
Locus_28509_Transcript_1/1_Confidence_1.000_Length_170_transcripts_v2_22442 	 0.444171 	 protein metabolism  
Locus_28509_Transcript_1/1_Confidence_1.000_Length_170_transcripts_v2_22442 	 0.444171 	 signal transduction  
Locus_2851_Transcript_1/1_Confidence_1.000_Length_1147_transcripts_v2_12642 	 0.598642 	 cell adhesion  
Locus_2851_Transcript_1/1_Confidence_1.000_Length_1147_transcripts_v2_12642 	 0.598642 	 cell organization and biogenesis
Locus_2851_Transcript_1/1_Confidence_1.000_Length_1147_transcripts_v2_12642 	 0.598642 	 developmental processes  
Locus_2851_Transcript_1/1_Confidence_1.000_Length_1147_transcripts_v2_12642 	 0.598642 	 other biological processes 
Locus_2851_Transcript_1/1_Confidence_1.000_Length_1147_transcripts_v2_12642 	 0.598642 	 other metabolic processes 
Locus_2851_Transcript_1/1_Confidence_1.000_Length_1147_transcripts_v2_12642 	 0.598642 	 signal transduction  
Locus_2851_Transcript_1/1_Confidence_1.000_Length_1147_transcripts_v2_12642 	 0.598642 	 stress response  
Locus_2851_Transcript_1/1_Confidence_1.000_Length_1147_transcripts_v2_12642 	 0.598642 	 transport   
Locus_28537_Transcript_1/1_Confidence_1.000_Length_212_transcripts_v2_19294 	 0.687112 	 RNA metabolism  
Locus_28537_Transcript_1/1_Confidence_1.000_Length_212_transcripts_v2_19294 	 0.687112 	 cell cycle and proliferation
Locus_28537_Transcript_1/1_Confidence_1.000_Length_212_transcripts_v2_19294 	 0.687112 	 cell organization and biogenesis
Locus_28537_Transcript_1/1_Confidence_1.000_Length_212_transcripts_v2_19294 	 0.687112 	 developmental processes  
Locus_28537_Transcript_1/1_Confidence_1.000_Length_212_transcripts_v2_19294 	 0.687112 	 other biological processes 
Locus_28537_Transcript_1/1_Confidence_1.000_Length_212_transcripts_v2_19294 	 0.687112 	 protein metabolism  
Locus_28537_Transcript_1/1_Confidence_1.000_Length_212_transcripts_v2_19294 	 0.687112 	 transport   
Locus_28560_Transcript_1/1_Confidence_1.000_Length_893_transcripts_v2_13019 	 0.336154 	 other biological processes 
Locus_28560_Transcript_1/1_Confidence_1.000_Length_893_transcripts_v2_13019 	 0.336154 	 protein metabolism  
Locus_28578_Transcript_1/1_Confidence_1.000_Length_498_transcripts_v2_14427 	 0.47128 	 other biological processes 
Locus_2858_Transcript_4/5_Confidence_0.273_Length_229_transcripts_v2_18474 	 0.552563 	 other biological processes 
Locus_28590_Transcript_1/1_Confidence_1.000_Length_634_transcripts_v2_13733 	 0.201613 	 other biological processes 
Locus_28596_Transcript_1/1_Confidence_1.000_Length_370_transcripts_v2_15437 	 0.702657 	 transport   
Locus_28600_Transcript_1/1_Confidence_1.000_Length_578_transcripts_v2_13992 	 0.425207 	 DNA metabolism  
Locus_28600_Transcript_1/1_Confidence_1.000_Length_578_transcripts_v2_13992 	 0.425207 	 cell cycle and proliferation
Locus_28600_Transcript_1/1_Confidence_1.000_Length_578_transcripts_v2_13992 	 0.425207 	 other metabolic processes 
Locus_28601_Transcript_1/1_Confidence_1.000_Length_299_transcripts_v2_16520 	 0.212267 	 RNA metabolism  
Locus_2860_Transcript_1/1_Confidence_1.000_Length_545_transcripts_v2_14156 	 0.391212 	 transport   
Locus_28612_Transcript_1/1_Confidence_1.000_Length_198_transcripts_v2_20137 	 0.723655 	 protein metabolism  
Locus_28616_Transcript_1/1_Confidence_1.000_Length_378_transcripts_v2_15350 	 0.322693 	 protein metabolism  
Locus_28617_Transcript_1/1_Confidence_1.000_Length_485_transcripts_v2_14519 	 0.639001 	 protein metabolism  
Locus_28626_Transcript_1/1_Confidence_1.000_Length_704_transcripts_v2_13464 	 0.800197 	 other biological processes 
Locus_28626_Transcript_1/1_Confidence_1.000_Length_704_transcripts_v2_13464 	 0.800197 	 signal transduction  
Locus_28638_Transcript_1/1_Confidence_1.000_Length_259_transcripts_v2_17441 	 0.0952395 	 transport   
Locus_2863_Transcript_1/1_Confidence_1.000_Length_495_transcripts_v2_14447 	 0.35794 	 other biological processes 
Locus_2863_Transcript_1/1_Confidence_1.000_Length_495_transcripts_v2_14447 	 0.35794 	 transport   
Locus_28642_Transcript_1/1_Confidence_1.000_Length_191_transcripts_v2_20667 	 0.488031 	 RNA metabolism  
Locus_28642_Transcript_1/1_Confidence_1.000_Length_191_transcripts_v2_20667 	 0.488031 	 other biological processes 
Locus_28642_Transcript_1/1_Confidence_1.000_Length_191_transcripts_v2_20667 	 0.488031 	 signal transduction  
Locus_28661_Transcript_1/1_Confidence_1.000_Length_435_transcripts_v2_14867 	 0.565209 	 other metabolic processes 
Locus_28665_Transcript_1/1_Confidence_1.000_Length_233_transcripts_v2_18335 	 0.720845 	 RNA metabolism  
Locus_28665_Transcript_1/1_Confidence_1.000_Length_233_transcripts_v2_18335 	 0.720845 	 cell cycle and proliferation
Locus_28665_Transcript_1/1_Confidence_1.000_Length_233_transcripts_v2_18335 	 0.720845 	 cell organization and biogenesis
Locus_28677_Transcript_1/1_Confidence_1.000_Length_661_transcripts_v2_13629 	 0.438827 	 RNA metabolism  
Locus_28677_Transcript_1/1_Confidence_1.000_Length_661_transcripts_v2_13629 	 0.438827 	 cell cycle and proliferation
Locus_28677_Transcript_1/1_Confidence_1.000_Length_661_transcripts_v2_13629 	 0.438827 	 developmental processes  
Locus_28677_Transcript_1/1_Confidence_1.000_Length_661_transcripts_v2_13629 	 0.438827 	 signal transduction  
Locus_28679_Transcript_1/1_Confidence_1.000_Length_191_transcripts_v2_20669 	 0.369241 	 other biological processes 
Locus_28683_Transcript_1/1_Confidence_1.000_Length_598_transcripts_v2_13901 	 0.780868 	 other metabolic processes 
Locus_28685_Transcript_1/1_Confidence_1.000_Length_292_transcripts_v2_16655 	 0.198109 	 RNA metabolism  
Locus_28685_Transcript_1/1_Confidence_1.000_Length_292_transcripts_v2_16655 	 0.198109 	 other metabolic processes 
Locus_28686_Transcript_1/1_Confidence_1.000_Length_374_transcripts_v2_15390 	 0.390154 	 RNA metabolism  
Locus_28686_Transcript_1/1_Confidence_1.000_Length_374_transcripts_v2_15390 	 0.390154 	 other biological processes 
Locus_28686_Transcript_1/1_Confidence_1.000_Length_374_transcripts_v2_15390 	 0.390154 	 signal transduction  
Locus_28691_Transcript_1/1_Confidence_1.000_Length_157_transcripts_v2_23139 	 0.799628 	 cell cycle and proliferation
Locus_28691_Transcript_1/1_Confidence_1.000_Length_157_transcripts_v2_23139 	 0.799628 	 developmental processes  
Locus_28691_Transcript_1/1_Confidence_1.000_Length_157_transcripts_v2_23139 	 0.799628 	 other metabolic processes 
Locus_28691_Transcript_1/1_Confidence_1.000_Length_157_transcripts_v2_23139 	 0.799628 	 protein metabolism  
Locus_28699_Transcript_1/1_Confidence_1.000_Length_1065_transcripts_v2_12741 	 0.368112 	 other biological processes 
Locus_28705_Transcript_1/1_Confidence_1.000_Length_378_transcripts_v2_15351 	 0.838582 	 RNA metabolism  
Locus_28706_Transcript_1/1_Confidence_1.000_Length_316_transcripts_v2_16181 	 0.593639 	 other biological processes 
Locus_28706_Transcript_1/1_Confidence_1.000_Length_316_transcripts_v2_16181 	 0.593639 	 signal transduction  
Locus_28706_Transcript_1/1_Confidence_1.000_Length_316_transcripts_v2_16181 	 0.593639 	 transport   
Locus_28708_Transcript_1/1_Confidence_1.000_Length_199_transcripts_v2_20078 	 0.533347 	 RNA metabolism  
Locus_28708_Transcript_1/1_Confidence_1.000_Length_199_transcripts_v2_20078 	 0.533347 	 cell organization and biogenesis
Locus_2870_Transcript_1/1_Confidence_1.000_Length_224_transcripts_v2_18679 	 1.06999 	 other metabolic processes 
Locus_2870_Transcript_1/1_Confidence_1.000_Length_224_transcripts_v2_18679 	 1.06999 	 transport   
Locus_28712_Transcript_1/1_Confidence_1.000_Length_215_transcripts_v2_19152 	 0.738983 	 death   
Locus_28712_Transcript_1/1_Confidence_1.000_Length_215_transcripts_v2_19152 	 0.738983 	 other biological processes 
Locus_28712_Transcript_1/1_Confidence_1.000_Length_215_transcripts_v2_19152 	 0.738983 	 protein metabolism  
Locus_28739_Transcript_1/1_Confidence_1.000_Length_167_transcripts_v2_22780 	 1.10936 	 cell organization and biogenesis
Locus_28739_Transcript_1/1_Confidence_1.000_Length_167_transcripts_v2_22780 	 1.10936 	 developmental processes  
Locus_28739_Transcript_1/1_Confidence_1.000_Length_167_transcripts_v2_22780 	 1.10936 	 other biological processes 
Locus_28740_Transcript_1/1_Confidence_1.000_Length_277_transcripts_v2_16979 	 0.578142 	 cell adhesion  
Locus_28740_Transcript_1/1_Confidence_1.000_Length_277_transcripts_v2_16979 	 0.578142 	 death   
Locus_28742_Transcript_1/1_Confidence_1.000_Length_364_transcripts_v2_15487 	 1.18288 	 cell organization and biogenesis
Locus_28742_Transcript_1/1_Confidence_1.000_Length_364_transcripts_v2_15487 	 1.18288 	 transport   
Locus_28743_Transcript_1/1_Confidence_1.000_Length_529_transcripts_v2_14244 	 0.952151 	 RNA metabolism  
Locus_28746_Transcript_1/1_Confidence_1.000_Length_278_transcripts_v2_16957 	 0.276789 	 other metabolic processes 
Locus_28747_Transcript_1/1_Confidence_1.000_Length_351_transcripts_v2_15660 	 0.2685 	 RNA metabolism  
Locus_2874_Transcript_1/10_Confidence_0.625_Length_2320_transcripts_v2_12177 	 0.271895 	 other biological processes 
Locus_2874_Transcript_1/10_Confidence_0.625_Length_2320_transcripts_v2_12177 	 0.271895 	 transport   
Locus_2874_Transcript_2/10_Confidence_0.583_Length_2094_transcripts_v2_12208 	 0.2558 	 other biological processes 
Locus_2874_Transcript_2/10_Confidence_0.583_Length_2094_transcripts_v2_12208 	 0.2558 	 transport   
Locus_2874_Transcript_3/10_Confidence_0.500_Length_2320_transcripts_v2_12178 	 0.280495 	 transport   
Locus_2874_Transcript_6/10_Confidence_0.500_Length_2331_transcripts_v2_12175 	 0.282365 	 developmental processes  
Locus_2874_Transcript_6/10_Confidence_0.500_Length_2331_transcripts_v2_12175 	 0.282365 	 other biological processes 
Locus_2874_Transcript_6/10_Confidence_0.500_Length_2331_transcripts_v2_12175 	 0.282365 	 signal transduction  
Locus_2874_Transcript_6/10_Confidence_0.500_Length_2331_transcripts_v2_12175 	 0.282365 	 transport   
Locus_2874_Transcript_7/10_Confidence_0.583_Length_2319_transcripts_v2_12180 	 0.272941 	 developmental processes  
Locus_2874_Transcript_7/10_Confidence_0.583_Length_2319_transcripts_v2_12180 	 0.272941 	 other biological processes 
Locus_2874_Transcript_7/10_Confidence_0.583_Length_2319_transcripts_v2_12180 	 0.272941 	 signal transduction  
Locus_2874_Transcript_7/10_Confidence_0.583_Length_2319_transcripts_v2_12180 	 0.272941 	 transport   
Locus_28750_Transcript_1/1_Confidence_1.000_Length_289_transcripts_v2_16722 	 0.782735 	 RNA metabolism  
Locus_28750_Transcript_1/1_Confidence_1.000_Length_289_transcripts_v2_16722 	 0.782735 	 developmental processes  
Locus_28750_Transcript_1/1_Confidence_1.000_Length_289_transcripts_v2_16722 	 0.782735 	 other biological processes 
Locus_28767_Transcript_1/1_Confidence_1.000_Length_205_transcripts_v2_19690 	 0.600597 	 developmental processes  
Locus_28767_Transcript_1/1_Confidence_1.000_Length_205_transcripts_v2_19690 	 0.600597 	 protein metabolism  
Locus_28767_Transcript_1/1_Confidence_1.000_Length_205_transcripts_v2_19690 	 0.600597 	 signal transduction  
Locus_28767_Transcript_1/1_Confidence_1.000_Length_205_transcripts_v2_19690 	 0.600597 	 stress response  
Locus_28799_Transcript_1/1_Confidence_1.000_Length_164_transcripts_v2_23100 	 1.07847 	 other metabolic processes 
Locus_28799_Transcript_1/1_Confidence_1.000_Length_164_transcripts_v2_23100 	 1.07847 	 transport   
Locus_287_Transcript_2/4_Confidence_0.500_Length_220_transcripts_v2_18857 	 0.0837139 	 other biological processes 
Locus_287_Transcript_3/4_Confidence_0.167_Length_612_transcripts_v2_13826 	 0.437354 	 cell organization and biogenesis
Locus_28801_Transcript_1/1_Confidence_1.000_Length_315_transcripts_v2_16203 	 0.398994 	 RNA metabolism  
Locus_28801_Transcript_1/1_Confidence_1.000_Length_315_transcripts_v2_16203 	 0.398994 	 death   
